[2024-06-04 23:23:07,824: INFO: main: Welcome to our custom log]
[2024-06-04 23:25:25,672: INFO: main: Welcome to our custom log]
[2024-06-05 17:43:00,205: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-05 17:43:00,341: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-05 17:43:00,352: INFO: common: created directory at: artifacts]
[2024-06-05 17:43:00,354: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-05 17:43:00,356: INFO: 2974169240: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-05 17:43:51,546: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-05 17:43:51,548: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-05 17:43:51,550: INFO: common: created directory at: artifacts]
[2024-06-05 17:43:51,551: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-05 17:43:51,552: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-05 17:43:57,308: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-05 18:01:37,567: INFO: main: >>>>>> stage Data ingestion stage started <<<<<<]
[2024-06-05 18:01:37,569: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-05 18:01:37,571: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-05 18:01:37,571: INFO: common: created directory at: artifacts]
[2024-06-05 18:01:37,572: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-05 18:01:37,572: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-05 18:01:43,172: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-05 18:01:45,265: INFO: main: >>>>>> stage Data ingestion stage completed <<<<<<

x==========x]
